1,2,3,4,5,6,7,1,2,0,1,5,6,7,1,2,3,4,5,6
2,3,4,5,6,7,1,2,3,0,1,6,7,1,2,3,4,5,6,7
3,4,5,6,7,1,2,3,4,0,1,7,1,2,3,4,5,6,7,1
4,5,6,7,1,2,3,4,5,0,1,1,2,3,4,5,6,7,1,2
5,6,7,1,2,3,4,5,6,0,1,2,3,4,5,6,7,1,2,3
6,7,1,2,3,4,5,6,7,0,1,3,4,5,6,7,1,2,3,4
7,1,2,3,4,5,6,7,1,0,1,4,5,6,7,1,2,3,4,5
1,2,3,4,5,6,7,1,2,0,1,5,6,7,1,2,3,4,5,6
2,3,4,5,6,7,1,2,3,0,1,6,7,1,2,3,4,5,6,7
3,4,5,6,7,1,2,3,4,0,1,7,1,2,3,4,5,6,7,1
4,5,6,7,1,2,3,4,5,0,1,1,2,3,4,5,6,7,1,2
5,6,7,1,2,3,4,5,6,0,1,2,3,4,5,6,7,1,2,3
6,7,1,2,3,4,5,6,7,1,2,3,4,5,8,7,1,2,3,4
7,1,2,3,4,5,6,7,1,2,3,4,5,6,8,1,2,3,4,5
1,2,3,4,5,6,7,1,2,3,4,5,6,7,8,2,3,4,5,6
2,3,4,5,6,7,1,2,3,4,5,6,7,1,8,3,4,5,6,7
3,4,5,6,7,1,2,3,4,5,6,7,1,2,8,4,5,6,7,1
4,5,6,7,1,2,3,4,5,6,7,1,2,3,8,5,6,7,1,2
5,6,7,1,2,3,4,5,6,7,1,2,3,4,8,6,7,1,2,3
6,7,1,2,3,4,5,6,7,1,2,3,4,5,8,7,1,2,3,4
